X,Y,Z,t
0.797,-1.449,9.6,5
0.799,-1.371,9.598,5
0.805,-1.382,9.541,5
0.829,-1.393,9.511,5
0.832,-1.42,9.572,5
0.796,-1.446,9.55,4
0.764,-1.408,9.539,5
0.754,-1.4,9.525,5
0.762,-1.388,9.51,5
0.752,-1.416,9.519,5
0.725,-1.432,9.543,5
0.702,-1.413,9.6,5
0.713,-1.387,9.554,5
0.704,-1.439,9.564,5
0.736,-1.437,9.57,5
0.763,-1.428,9.509,5
0.747,-1.404,9.533,5
0.728,-1.399,9.61,5
0.734,-1.39,9.594,5
0.749,-1.406,9.526,5
0.782,-1.426,9.496,5
0.752,-1.422,9.517,5
0.741,-1.4,9.649,5
0.734,-1.396,9.542,4
0.739,-1.419,9.533,5
0.768,-1.454,9.578,5
0.749,-1.445,9.624,5
0.772,-1.434,9.649,5
0.781,-1.429,9.599,5
0.801,-1.421,9.594,5
0.846,-1.431,9.544,5
0.825,-1.417,9.544,5
0.806,-1.438,9.549,5
0.798,-1.392,9.562,5
0.812,-1.392,9.542,5
0.815,-1.397,9.55,5
0.821,-1.427,9.55,5
0.778,-1.402,9.566,5
0.784,-1.4,9.566,5
0.755,-1.371,9.564,5
0.774,-1.422,9.503,5
0.772,-1.455,9.519,4
0.787,-1.45,9.614,5
0.79,-1.416,9.634,5
0.78,-1.42,9.613,5
0.799,-1.413,9.558,5
0.803,-1.412,9.538,5
0.782,-1.423,9.537,5
0.771,-1.424,9.564,5
0.787,-1.405,9.553,5
0.749,-1.42,9.528,5
0.738,-1.403,9.531,5
0.726,-1.41,9.554,5
0.714,-1.373,9.587,5
0.716,-1.377,9.597,5
0.714,-1.414,9.545,5
0.749,-1.452,9.509,5
0.761,-1.429,9.542,5
0.783,-1.441,9.619,5
0.755,-1.393,9.565,4
0.761,-1.397,9.559,5
0.815,-1.424,9.523,5
0.831,-1.453,9.508,5
0.821,-1.438,9.533,5
0.786,-1.411,9.641,5
0.743,-1.386,9.565,5
0.765,-1.387,9.558,5
0.77,-1.435,9.515,5
0.775,-1.427,9.529,5
0.785,-1.429,9.613,5
0.753,-1.412,9.581,5
0.789,-1.416,9.56,5
0.812,-1.417,9.527,5
0.83,-1.421,9.57,5
0.837,-1.403,9.602,5
0.805,-1.377,9.624,5
0.79,-1.406,9.541,5
0.799,-1.402,9.554,4
0.8,-1.429,9.592,5
0.764,-1.452,9.577,5
0.742,-1.443,9.595,5
0.716,-1.426,9.543,5
0.753,-1.417,9.487,5
0.739,-1.437,9.547,5
0.759,-1.458,9.62,5
0.748,-1.466,9.659,5
0.74,-1.388,9.598,5
0.731,-1.368,9.514,5
0.805,-1.412,9.537,5
0.831,-1.446,9.576,5
0.81,-1.439,9.605,5
0.778,-1.405,9.601,5
0.762,-1.383,9.542,5
0.768,-1.418,9.547,5
0.763,-1.44,9.547,4
0.743,-1.444,9.541,5
0.739,-1.426,9.582,5
0.691,-1.435,9.554,5
0.754,-1.419,9.513,5
0.764,-1.434,9.52,5
0.782,-1.434,9.541,5
0.796,-1.396,9.603,5
0.792,-1.362,9.547,5
0.815,-1.367,9.545,5
0.818,-1.402,9.538,5
0.826,-1.402,9.584,5
0.803,-1.387,9.602,5
0.759,-1.383,9.561,5
0.741,-1.381,9.558,5
0.743,-1.42,9.532,5
0.738,-1.453,9.537,5
0.756,-1.45,9.61,5
0.753,-1.407,9.623,4
0.753,-1.424,9.576,5
0.767,-1.421,9.511,5
0.791,-1.453,9.563,5
0.779,-1.437,9.565,5
0.765,-1.403,9.591,5
0.767,-1.395,9.547,5
0.771,-1.439,9.502,5
0.779,-1.436,9.51,5
0.775,-1.439,9.528,5
0.735,-1.436,9.58,5
0.717,-1.4,9.539,5
0.714,-1.388,9.517,5
0.754,-1.397,9.556,5
0.763,-1.398,9.592,5
0.756,-1.433,9.615,5
0.769,-1.41,9.594,5
0.765,-1.401,9.576,5
0.805,-1.432,9.523,4
0.826,-1.446,9.554,5
0.817,-1.421,9.58,5
0.772,-1.382,9.573,5
0.761,-1.369,9.538,5
0.791,-1.423,9.465,5
0.782,-1.444,9.528,5
0.769,-1.423,9.569,5
0.75,-1.411,9.596,5
0.726,-1.416,9.54,5
0.745,-1.447,9.529,5
0.781,-1.446,9.507,5
0.809,-1.432,9.54,5
0.8,-1.404,9.576,5
0.759,-1.381,9.555,5
0.765,-1.392,9.559,5
0.807,-1.402,9.552,5
0.804,-1.422,9.585,5
0.79,-1.42,9.64,4
0.741,-1.383,9.6,5
0.721,-1.416,9.539,5
0.729,-1.456,9.488,5
0.742,-1.459,9.539,5
0.712,-1.431,9.588,5
0.695,-1.412,9.595,5
0.699,-1.391,9.587,5
0.761,-1.39,9.542,5
0.79,-1.423,9.586,5
0.777,-1.404,9.576,5
0.766,-1.403,9.568,5
0.767,-1.41,9.55,5
0.811,-1.411,9.52,5
0.811,-1.4,9.516,5
0.806,-1.407,9.525,5
0.797,-1.417,9.618,5
0.776,-1.398,9.583,5
0.772,-1.413,9.586,4
0.774,-1.433,9.541,5
0.784,-1.417,9.574,5
0.777,-1.44,9.638,5
0.765,-1.417,9.588,5
0.811,-1.414,9.537,5
0.824,-1.412,9.528,5
0.82,-1.426,9.517,5
0.839,-1.434,9.546,5
0.806,-1.378,9.551,5
0.791,-1.381,9.558,5
0.807,-1.434,9.54,5
0.777,-1.441,9.54,5
0.758,-1.429,9.567,5
0.702,-1.441,9.565,5
0.685,-1.419,9.557,5
0.715,-1.421,9.506,5
0.747,-1.455,9.526,5
0.739,-1.421,9.586,4
0.727,-1.39,9.556,5
0.732,-1.348,9.566,5
0.733,-1.365,9.597,5
0.776,-1.403,9.53,5
0.783,-1.427,9.545,5
0.789,-1.394,9.603,5
0.751,-1.364,9.583,5
0.749,-1.378,9.582,5
0.748,-1.416,9.531,5
0.771,-1.453,9.545,5
0.744,-1.439,9.564,5
0.725,-1.444,9.606,5
0.75,-1.394,9.584,5
0.786,-1.388,9.534,5
